iter	Passed	Remaining
221	2982	10453
222	2992	10427
223	3002	10401
224	3011	10372
225	3021	10348
226	3031	10324
227	3040	10296
228	3051	10272
229	3059	10243
230	3071	10224
231	3081	10202
232	3090	10173
233	3100	10150
234	3109	10122
235	3119	10099
236	3130	10077
237	3139	10051
238	3149	10027
239	3157	9999
240	3172	9990
241	3182	9968
242	3191	9940
243	3200	9917
244	3211	9895
245	3219	9869
246	3230	9848
247	3239	9823
248	3249	9800
249	3258	9774
250	3280	9787
251	3289	9764
252	3300	9743
253	3310	9723
254	3319	9698
255	3329	9677
256	3339	9653
257	3349	9633
258	3359	9612
259	3368	9588
260	3380	9572
261	3389	9547
262	3400	9528
263	3410	9509
264	3419	9484
265	3429	9464
266	3438	9440
267	3448	9420
268	3459	9400
269	3467	9375
270	3478	9356
271	3486	9332
272	3497	9314
273	3508	9296
274	3517	9273
275	3527	9253
276	3536	9229
277	3546	9210
278	3559	9199
279	3568	9176
280	3578	9157
281	3589	9138
282	3599	9118
283	3609	9099
284	3618	9077
285	3628	9058
286	3638	9039
287	3647	9018
288	3657	8998
289	3666	8977
290	3677	8959
291	3688	8942
292	3697	8922
293	3709	8906
294	3718	8885
295	3727	8865
296	3737	8847
297	3746	8826
298	3757	8810
299	3769	8794
300	3778	8774
301	3788	8755
302	3797	8734
303	3808	8720
304	3819	8702
305	3827	8681
306	3837	8663
307	3846	8642
308	3857	8625
309	3867	8608
310	3876	8587
311	3888	8574
312	3898	8557
313	3907	8537
314	3918	8521
315	3927	8501
316	3937	8484
317	3951	8474
318	3960	8454
319	3970	8436
320	3978	8416
321	3989	8399
322	3999	8382
323	4008	8363
324	4019	8348
325	4028	8328
326	4038	8311
327	4048	8295
328	4057	8276
329	4068	8260
330	4077	8241
331	4087	8224
332	4098	8208
333	4106	8189
334	4117	8173
335	4126	8155
336	4137	8139
337	4147	8123
338	4156	8104
339	4166	8088
340	4176	8070
341	4185	8051
342	4195	8036
343	4205	8019
344	4215	8002
345	4224	7984
346	4235	7970
347	4246	7955
348	4254	7936
349	4264	7919
350	4273	7901
351	4282	7884
352	4292	7868
353	4301	7849
354	4311	7834
355	4321	7817
356	4332	7804
357	4344	7791
358	4354	7774
359	4363	7757
360	4373	7740
361	4382	7723
362	4392	7707
363	4400	7689
364	4410	7672
365	4419	7655
366	4430	7641
367	4440	7625
368	4450	7610
369	4460	7594
370	4468	7576
371	4479	7561
372	4489	7546
373	4498	7529
374	4507	7512
375	4517	7496
376	4528	7483
377	4538	7468
378	4548	7453
379	4562	7444
380	4577	7437
381	4592	7430
382	4606	7421
383	4619	7409
384	4630	7396
385	4643	7386
386	4656	7376
387	4670	7366
388	4682	7354
389	4695	7344
390	4710	7337
391	4724	7327
392	4742	7325
393	4757	7317
394	4768	7304
395	4777	7286
396	4789	7275
397	4800	7261
398	4809	7244
399	4819	7229
400	4828	7212
401	4838	7196
402	4847	7180
403	4858	7167
404	4868	7152
405	4878	7137
406	4889	7123
407	4899	7109
408	4908	7093
409	4919	7079
410	4928	7063
411	4942	7054
412	4955	7043
413	4972	7038
414	4991	7035
415	5017	7043
416	5038	7044
417	5060	7045
418	5082	7047
419	5102	7046
420	5121	7042
421	5139	7039
422	5151	7027
423	5166	7018
424	5179	7007
425	5191	6995
426	5203	6983
427	5214	6968
428	5223	6953
429	5234	6938
430	5244	6923
431	5253	6907
432	5264	6893
433	5272	6876
434	5285	6864
435	5295	6850
436	5304	6834
437	5315	6819
438	5324	6803
439	5334	6789
440	5345	6775
441	5354	6759
442	5364	6745
443	5374	6730
444	5386	6717
445	5396	6703
446	5405	6687
447	5414	6671
448	5425	6657
449	5434	6641
450	5460	6647
451	5470	6632
452	5482	6620
453	5492	6606
454	5502	6590
455	5512	6576
456	5525	6565
457	5534	6549
458	5544	6534
459	5554	6520
460	5563	6504
461	5574	6491
462	5583	6476
463	5596	6464
464	5607	6451
465	5616	6435
466	5631	6427
467	5649	6422
468	5675	6425
469	5693	6419
470	5710	6414
471	5732	6412
472	5754	6411
473	5771	6404
474	5785	6394
475	5798	6383
476	5812	6372
477	5824	6361
478	5839	6351
479	5850	6338
480	5861	6324
481	5873	6311
482	5885	6299
483	5895	6285
484	5906	6271
485	5917	6258
486	5927	6244
487	5938	6230
488	5947	6215
489	5957	6200
490	5967	6186
491	5977	6171
492	5987	6157
493	5996	6142
494	6007	6129
495	6018	6115
496	6027	6099
497	6037	6086
498	6048	6072
499	6057	6057
500	6068	6044
501	6076	6028
502	6086	6014
503	6096	6000
504	6107	5986
505	6118	5973
506	6128	5959
507	6137	5944
508	6148	5930
509	6157	5915
510	6167	5901
511	6176	5887
512	6186	5873
513	6197	5859
514	6206	5845
515	6218	5832
516	6228	5818
517	6242	5808
518	6252	5794
519	6262	5780
520	6272	5766
521	6282	5753
522	6292	5738
523	6302	5724
524	6313	5712
525	6326	5701
526	6335	5686
527	6346	5673
528	6355	5658
529	6366	5646
530	6377	5632
531	6386	5618
532	6397	5605
533	6407	5591
534	6416	5576
535	6426	5563
536	6437	5550
537	6447	5536
538	6458	5523
539	6467	5509
540	6477	5496
541	6487	5481
542	6496	5467
543	6509	5456
544	6518	5442
545	6531	5430
546	6541	5417
547	6550	5402
548	6560	5389
549	6569	5375
550	6580	5361
551	6590	5348
552	6599	5334
553	6609	5320
554	6618	5306
555	6628	5293
556	6639	5280
557	6648	5266
558	6658	5253
559	6667	5238
560	6677	5225
561	6687	5212
562	6696	5197
563	6709	5186
564	6720	5173
565	6728	5159
566	6739	5146
567	6749	5133
568	6759	5119
569	6771	5108
570	6785	5098
571	6803	5090
572	6814	5078
573	6829	5068
574	6843	5058
575	6858	5048
576	6870	5037
577	6882	5024
578	6893	5012
579	6906	5001
580	6919	4990
581	6935	4980
582	6946	4968
583	6961	4958
584	6973	4946
585	6983	4934
586	6993	4920
587	7004	4907
588	7014	4894
589	7023	4880
590	7032	4867
591	7041	4853
592	7051	4839
593	7060	4826
594	7072	4814
595	7082	4800
596	7091	4787
597	7103	4775
598	7115	4763
599	7124	4749
600	7133	4736
601	7142	4722
602	7152	4709
603	7162	4695
604	7172	4682
605	7183	4670
606	7192	4656
607	7203	4644
608	7214	4632
609	7223	4618
610	7234	4606
611	7245	4593
612	7254	4580
613	7271	4571
614	7288	4562
615	7306	4554
616	7327	4548
617	7347	4541
618	7364	4532
619	7381	4524
620	7399	4515
621	7413	4505
622	7431	4496
623	7445	4486
624	7461	4477
625	7476	4466
626	7488	4454
627	7504	4445
628	7517	4434
629	7529	4421
630	7539	4408
631	7548	4395
632	7559	4382
633	7567	4368
634	7578	4356
635	7587	4342
636	7598	4329
637	7608	4316
638	7617	4303
639	7628	4290
640	7639	4278
641	7647	4264
642	7658	4252
643	7667	4238
644	7677	4225
645	7688	4213
646	7699	4200
647	7709	4188
648	7720	4175
649	7729	4162
650	7740	4149
651	7749	4136
652	7759	4123
653	7769	4110
654	7778	4097
655	7788	4084
656	7797	4070
657	7809	4059
658	7819	4046
659	7829	4033
660	7839	4020
661	7848	4007
662	7857	3994
663	7867	3981
664	7877	3968
665	7890	3957
666	7902	3945
667	7912	3932
668	7921	3919
669	7930	3906
670	7940	3893
671	7950	3880
672	7959	3867
673	7969	3854
674	7978	3841
675	7990	3829
676	8001	3817
677	8010	3804
678	8020	3791
679	8031	3779
680	8040	3766
681	8050	3753
682	8059	3740
683	8070	3728
684	8080	3715
685	8089	3702
686	8100	3690
687	8110	3677
688	8119	3664
689	8130	3652
690	8138	3639
691	8148	3626
692	8158	3614
693	8168	3601
694	8178	3589
695	8187	3576
696	8198	3563
697	8206	3550
698	8218	3539
699	8229	3526
700	8238	3513
701	8248	3501
702	8257	3488
703	8267	3476
704	8278	3463
705	8288	3451
706	8300	3439
707	8312	3428
708	8325	3417
709	8337	3405
710	8347	3392
711	8356	3380
712	8366	3367
713	8376	3355
714	8385	3342
715	8395	3329
716	8403	3317
717	8413	3304
718	8424	3292
719	8434	3280
720	8444	3267
721	8453	3254
722	8463	3242
723	8472	3229
724	8483	3217
725	8492	3205
726	8501	3192
727	8512	3180
728	8521	3167
729	8533	3156
730	8543	3143
731	8558	3133
732	8572	3122
733	8590	3113
734	8612	3105
735	8630	3095
736	8655	3088
737	8714	3093
738	8743	3087
739	8773	3082
740	8794	3073
741	8807	3062
742	8819	3050
743	8829	3038
744	8842	3026
745	8854	3014
746	8864	3002
747	8877	2990
748	8890	2979
749	8902	2967
750	8912	2955
751	8924	2943
752	8936	2931
753	8945	2918
754	8958	2907
755	8972	2896
756	8989	2885
757	9009	2876
758	9036	2869
759	9077	2866
760	9142	2871
761	9188	2869
762	9225	2865
763	9244	2855
764	9260	2844
765	9276	2833
766	9291	2822
767	9310	2812
768	9326	2801
769	9342	2790
770	9358	2779
771	9372	2768
772	9386	2756
773	9399	2744
774	9409	2731
775	9422	2719
776	9434	2707
777	9447	2695
778	9457	2683
779	9470	2671
780	9483	2659
781	9494	2646
782	9511	2636
783	9532	2626
784	9556	2617
785	9587	2610
786	9611	2601
787	9627	2590
788	9638	2577
789	9652	2565
790	9667	2554
791	9681	2542
792	9692	2530
793	9705	2518
794	9718	2506
795	9729	2493
796	9739	2480
797	9749	2467
798	9761	2455
799	9770	2442
800	9781	2429
801	9791	2417
802	9801	2404
803	9812	2392
804	9824	2379
805	9834	2367
806	9846	2354
807	9857	2342
808	9868	2329
809	9878	2317
810	9889	2304
811	9898	2291
812	9908	2279
813	9917	2266
814	9928	2253
815	9939	2241
816	9948	2228
817	9960	2216
818	9971	2203
819	9982	2191
820	9993	2178
821	10004	2166
822	10013	2153
823	10022	2140
824	10031	2127
825	10041	2115
826	10052	2102
827	10061	2090
828	10072	2077
829	10082	2065
830	10093	2052
831	10103	2040
832	10114	2027
833	10131	2016
834	10179	2011
835	10193	1999
836	10207	1987
837	10219	1975
838	10232	1963
839	10244	1951
840	10258	1939
841	10270	1927
842	10284	1915
843	10294	1902
844	10305	1890
845	10316	1877
846	10325	1865
847	10335	1852
848	10345	1839
849	10354	1827
850	10365	1814
851	10379	1802
852	10389	1790
853	10400	1778
854	10409	1765
855	10419	1752
856	10429	1740
857	10438	1727
858	10449	1715
859	10458	1702
860	10469	1690
861	10480	1677
862	10490	1665
863	10500	1652
864	10512	1640
865	10520	1627
866	10534	1616
867	10557	1605
868	10603	1598
869	10639	1589
870	10660	1578
871	10671	1566
872	10687	1554
873	10701	1542
874	10715	1530
875	10731	1519
876	10744	1506
877	10754	1494
878	10770	1482
879	10781	1470
880	10793	1457
881	10803	1445
882	10814	1432
883	10825	1420
884	10834	1407
885	10844	1395
886	10854	1382
887	10864	1370
888	10874	1357
889	10883	1345
890	10894	1332
891	10906	1320
892	10917	1308
893	10927	1295
894	10937	1283
895	10946	1270
896	10957	1258
897	10965	1245
898	10976	1233
899	10985	1220
900	10994	1208
901	11006	1195
902	11016	1183
903	11027	1171
904	11037	1158
905	11046	1146
906	11057	1133
907	11066	1121
908	11076	1108
909	11086	1096
910	11096	1084
911	11108	1071
912	11119	1059
913	11128	1047
914	11139	1034
915	11151	1022
916	11161	1010
917	11171	997
918	11181	985
919	11192	973
920	11211	961
921	11234	950
922	11259	939
923	11280	927
924	11305	916
925	11323	904
926	11341	893
927	11357	881
928	11373	869
929	11393	857
930	11413	845
931	11425	833
932	11442	821
933	11455	809
934	11468	797
935	11481	785
936	11492	772
937	11505	760
938	11518	748
939	11537	736
940	11554	724
941	11570	712
942	11582	700
943	11594	687
944	11603	675
945	11615	663
946	11624	650
947	11635	638
948	11646	625
949	11656	613
950	11666	601
951	11677	588
952	11686	576
953	11697	564
954	11706	551
955	11716	539
956	11727	526
957	11737	514
958	11748	502
959	11759	489
960	11768	477
961	11778	465
962	11787	452
963	11797	440
964	11807	428
965	11816	415
966	11826	403
967	11836	391
968	11847	379
969	11857	366
970	11867	354
971	11878	342
972	11889	329
973	11898	317
974	11909	305
975	11918	293
976	11928	280
977	11940	268
978	11952	256
979	11963	244
980	11973	231
981	11982	219
982	11993	207
983	12003	195
984	12013	182
985	12023	170
986	12033	158
987	12044	146
988	12054	134
989	12064	121
990	12074	109
991	12085	97
992	12094	85
993	12104	73
994	12113	60
995	12123	48
996	12134	36
997	12144	24
998	12155	12
999	12165	0
